token_address,chain,token_name,howmany_suspicious_urls,howmany_suspicious_addresses,howmany_warnings
0x00000000051b48047be6dc0ada6de5c3de86a588,eth,Baby Shiba Inu,4,0,0
0x0000000000c5dc95539589fbd24be07c6c14eca4,eth,Milady Cult Coin,22,0,0
0x0018d5e01e53878f90feab02f1b2019a21adf8b1,eth,Shadowcats,0,0,0
0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,eth,SANSHU!,18,0,0
0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c,eth,TWEET,4,0,0
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,eth,Metafox,3,0,0
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,eth,SuperGrok,0,0,0
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,bsc,Bomber Coin,0,0,0
0x00f71afe867b2dbd2ad4ba14fd139bc6bc659ccd,bsc,XOXO Monkey,3,0,0
0x0138f5e99cfdffbacf36e543800c19ef16fa294b,eth,Prophet,3,0,0
0x016cf83732f1468150d87dcc5bdf67730b3934d3,bsc,AirNFT Token,4,0,0
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,bsc,BSC Wrapped Jupiter,1,0,0
0x0255af6c9f86f6b0543357bacefa262a2664f80f,bsc,Immutable,3,0,0
0x0288d3e353fe2299f11ea2c2e1696b4a648ecc07,bsc,ZCore Finance,7,0,0
0x02a40c048ee2607b5f5606e445cfc3633fb20b58,bsc,Kaby Arena,4,0,0
0x02ff5065692783374947393723dba9599e59f591,bsc,YOOSHI,7,0,0
0x033bbde722ea3cdcec73cffea6581df9f9c257de,eth,Velar,3,0,0
0x037838b556d9c9d654148a284682c55bb5f56ef4,bsc,Lightning,4,0,0
0x038a68ff68c393373ec894015816e33ad41bd564,eth,Glitch,4,0,0
0x0391be54e72f7e001f6bbc331777710b4f2999ef,bsc,TravaFinance Token,3,0,0
0x03ff0ff224f904be3118461335064bb48df47938,bsc,Harmony ONE,4,0,0
0x04baf95fd4c52fd09a56d840baee0ab8d7357bf0,bsc,BigONE Token,2,0,0
0x04c154b66cb340f3ae24111cc767e0184ed00cc6,eth,Pirex Ether,7,0,0
0x04c747b40be4d535fc83d09939fb0f626f32800b,bsc,ITAM,4,0,0
0x053708a5bc7f1627ddc87e780ee381cf1e31f765,bsc,velaai,2,0,0
0x055999b83f9cade9e3988a0f34ef72817566800d,eth,RTB,17,0,0
0x0565805ca3a4105faee51983b0bd8ffb5ce1455c,bsc,BlockchainSpace [via ChainPort.io],5,0,0
0x05fe069626543842439ef90d9fa1633640c50cf1,eth,EVE AI,3,0,0
0x06561dc5cedcc012a4ea68609b17d41499622e4c,eth,NOOB,9,0,0
0x0688977ae5b10075f46519063fd2f03adc052c1f,bsc,5thScape,3,0,0
0x06b964d96f5dcf7eae9d7c559b09edce244d4b8e,eth,USUALX,9,0,0
0x06ddb3a8bc0abc14f85e974cf1a93a6f8d4909d9,eth,8PAY Network v2,3,0,0
0x07040971246a73ebda9cf29ea1306bb47c7c4e76,eth,AMERICAN PEPE,3,0,0
0x076ddce096c93dcf5d51fe346062bf0ba9523493,bsc,Paralink Network,11,0,0
0x0782b6d8c4551b9760e74c0545a9bcd90bdc41e5,bsc,Lista USD,9,0,0
0x07b36f2549291d320132712a1e64d3826b1fb4d7,bsc,WIFEDOGE,1,0,0
0x07c15e4add8c23d2971380dde6c57b6f88902ec1,bsc,MetaMars,2,0,0
0x08037036451c768465369431da5c671ad9b37dbc,bsc,NFT STARS COIN,8,0,0
0x0808e6c4400bde1d70db0d02170b67de05e07ef5,eth,Wrapped LYX,7,0,0
0x0864c156b3c5f69824564dec60c629ae6401bf2a,bsc,Streamr,18,0,0
0x08ba0619b1e7a582e0bce5bbe9843322c954c340,bsc,Binamon,0,0,0
0x09395a2a58db45db0da254c7eaa5ac469d8bdc85,eth,SubQueryToken,8,0,0
0x095956b142431eb9cf88b99f392540b91acbf4ad,bsc,One Basis Share,8,0,0
0x09f423ac3c9babbff6f94d372b16e4206e71439f,bsc,Wrapped Enjinstarter,9,0,0
0x0a3a21356793b49154fd3bbe91cbc2a16c0457f5,bsc,RFOX,4,0,0
0x0a907b0bbff60702b29a36b19718d99253cfbd9f,eth,QLix,7,0,0
0x0a9e3dde12e4519c9d89df69bd738490c9466bf4,eth,Market Dominance,6,0,0
0x0aee8703d34dd9ae107386d3eff22ae75dd616d1,eth,Tranche Finance,8,0,0
0x0b0a8c7c34374c1d0c649917a97eee6c6c929b1b,eth,Shiba V Pepe,0,0,0
0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89,bsc,Impossible Decentralized Incubator Access Token,4,0,0
0x0b38210ea11411557c13457d4da7dc6ea731b88a,eth,API3,8,0,0
0x0b3f42481c228f70756dbfa0309d3ddc2a5e0f6a,bsc,UltraSafe,7,0,0
0x0cbd6fadcf8096cc9a43d90b45f65826102e3ece,bsc,CheckDot,3,0,0
0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,bsc,Filecoin,8,0,0
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,bsc,PancakeSwap Token,12,0,0
0x0e7779e698052f8fe56c415c3818fcf89de9ac6d,bsc,Ultiverse Token,3,0,0
0x0e7beec376099429b85639eb3abe7cf22694ed49,bsc,Buni Token,9,0,0
0x0eb3a705fc54725037cc9e008bdede697f62f335,bsc,Cosmos Token,3,0,0
0x0ee7292bd28f4a490f849fb30c28cabab9440f9e,bsc,Gemlink,0,0,0
0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,eth,Arcona Distribution Contract,6,0,0
0x0f7dc5d02cc1e1f5ee47854d534d332a1081ccc8,eth,Pepes Dog,0,0,0
0x0f8c45b896784a1e408526b9300519ef8660209c,eth,XMAX,0,0,0
0x0fc2a55d5bd13033f1ee0cdd11f60f7efe66f467,eth,Lagrange,9,0,0
0x1010107b4757c915bc2f1ecd08c85d1bb0be92e0,eth,Brain Frog,5,0,0
0x103c45ffcf40f481a318480718501527929a89c3,eth,Fragma,2,0,0
0x108a850856db3f85d0269a2693d896b394c80325,eth,THORWallet Governance Token,22,0,0
0x115ec79f1de567ec68b7ae7eda501b406626478e,eth,CarryToken,8,0,0
0x121235cff4c59eec80b14c1d38b44e7de3a18287,bsc,DarkShield,0,0,0
0x1236a887ef31b4d32e1f0a2b5e4531f52cec7e75,bsc,GamiWorld.io,3,0,0
0x124123c7af9efd2a86f4d41daa88ac164d02a3d5,bsc,GreenEnvironmentalCoins,2,0,0
0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,eth,NodeAI,7,0,0
0x12819623921be0f4d5ebfc12c75e6d08a1683080,bsc,Broccoli,4,0,0
0x13e4b8cffe704d3de6f19e52b201d92c21ec18bd,eth,ParallelAI,3,0,0
0x14016e85a25aeb13065688cafb43044c2ef86784,bsc,TrueUSD,8,0,0
0x14778860e937f509e651192a90589de711fb88a9,bsc,CyberConnect,17,0,0
0x147faf8de9d8d8daae129b187f0d02d819126750,eth,GeoDB Coin,7,0,0
0x148255a3b10666d9788ec48bc61ea3e48974bf2c,eth,DMCCOIN,9,0,0
0x149af500734056b98572b66e6c771e57408e12e4,eth,Horizon,3,0,0
0x14a9a94e555fdd54c21d7f7e328e61d7ebece54b,bsc,LOOT Token,4,0,0
0x14c358b573a4ce45364a3dbd84bbb4dae87af034,bsc,DungeonSwap Token,7,0,0
0x14cf922aa1512adfc34409b63e18d391e4a86a2f,eth,ETH Strategy,24,0,0
0x151b1e2635a717bcdc836ecd6fbb62b674fe3e1d,bsc,Venus XVS,1,0,0
0x154a9f9cbd3449ad22fdae23044319d6ef2a1fab,bsc,CryptoBlades Skill Token,0,0,0
0x1559fa1b8f28238fd5d76d9f434ad86fd20d1559,eth,EDEN,5,0,0
0x15b543e986b8c34074dfc9901136d9355a537e7e,eth,Student Coin,3,0,0
0x1613957159e9b0ac6c80e824f7eea748a32a0ae2,bsc,pTokens CGG,5,0,0
0x1633b7157e7638c4d6593436111bf125ee74703f,bsc,Splintershards,1,0,0
0x1634e10c9155be623b5a52d6ca01c7a904d89b0a,eth,This Is Fine,3,0,0
0x164f12c8d7d16b905cc4f11e819a9fc5b183ef71,eth,dMarketplace Token,5,0,0
0x16939ef78684453bfdfb47825f8a5f714f12623a,bsc,Tezos Token,3,0,0
0x1776b223ff636d0d76adf2290821f176421dd889,eth,America,3,0,0
0x17837004ea685690b32dbead02a274ec4333a26a,eth,Bear Inu,0,0,0
0x1785113910847770290f5f840b4c74fc46451201,bsc,FABWELT,4,0,0
0x1796ae0b0fa4862485106a0de9b654efe301d0b2,bsc,Polkamon,7,0,0
0x17b7163cf1dbd286e262ddc68b553d899b93f526,bsc,Qubit Token,9,0,0
0x181de8c57c4f25eba9fd27757bbd11cc66a55d31,bsc,BelugaToken,12,0,0
0x1861c9058577c3b48e73d91d6f25c18b17fbffe0,bsc,DSLA,4,0,0
0x1894251aebcff227133575ed3069be9670e25db0,bsc,HALO COIN,7,0,0
0x18c4af61dbe6fd55d6470943b4ab8530777d009c,bsc,AgaTech,11,0,0
0x190b589cf9fb8ddeabbfeae36a813ffb2a702454,bsc,bDollar,8,0,0
0x193397bb76868c6873e733ad60d5953843ebc84e,bsc,MEMETOON,2,0,0
0x193f4a4a6ea24102f49b931deeeb931f6e32405d,bsc,TLOS,9,0,0
0x19a4866a85c652eb4a2ed44c42e4cb2863a62d51,bsc,Hodooi.com Token,5,0,0
0x19af07b52e5faa0c2b1e11721c52aa23172fe2f5,eth,MEMES ST,2,0,0
0x19be6f3f83d079d640720bda3b638a00a3b7ee20,bsc,Kitnet Token,1,0,0
0x19e6bfc1a6e4b042fb20531244d47e252445df01,bsc,Templar Token,1,0,0
0x19f78a898f3e3c2f40c6e0cd2ee5545f549d5e99,eth,Deputy Dawgs,2,0,0
0x1a11ea9d61588d756d9f1014c3cf0d226aedd279,eth,MILEI Token,3,0,0
0x1a57367c6194199e5d9aea1ce027431682dfb411,eth,MatrixETF DAO Finance,1,0,0
0x1a9b49e9f075c37fe5f86c916bac9deb33556d7e,bsc,ASPOToken,2,0,0
0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,bsc,Dai Token,3,0,0
0x1b3be8fcd2e7c5ce9c5c242e0066fdd9740220d0,eth,Licker,3,0,0
0x1ba8d3c4c219b124d351f603060663bd1bcd9bbf,bsc,TornadoCash,8,0,0
0x1bdd3cf7f79cfb8edbb955f20ad99211551ba275,bsc,Liquid Staking BNB,10,0,0
0x1bec41a36356d5574aeb068b599ab7e48dd008b8,bsc,DOGEFOOD,1,0,0
0x1bf7aedec439d6bfe38f8f9b20cf3dc99e3571c4,bsc,TRONPAD.network,3,0,0
0x1cc1aca0dae2d6c4a0e8ae7b4f2d01eabbc435ee,bsc,Stronghands Finance,4,0,0
0x1cc7047e15825f639e0752eb1b89e4225f5327f2,eth,Pullix,1,0,0
0x1ce0c2827e2ef14d5c4f29a091d735a204794041,bsc,Avalanche,8,0,0
0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a,eth,WAVES,0,0,0
0x1d229b958d5ddfca92146585a8711aecbe56f095,bsc,ZooToken,3,0,0
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,bsc,XRP Token,3,0,0
0x1d3437e570e93581bd94b2fd8fbf202d4a65654a,bsc,NanoByte Token,7,0,0
0x1d6cbdc6b29c6afbae65444a1f65ba9252b8ca83,bsc,TOR,1,0,0
0x1f39dd2bf5a27e2d4ed691dcf933077371777cb0,bsc,SnowCrash Token,3,0,0
0x1fa4a73a3f0133f0025378af00236f3abdee5d63,bsc,NEAR Protocol,8,0,0
0x1ffd0b47127fdd4097e54521c9e2c7f0d66aafc5,bsc,Tixl Token,10,0,0
0x2015bc0be96be4aea2aabc95522109acfec84c30,eth,WETH HEDZ,8,0,0
0x2047ab3072b52561596ce5e0131bdbb7c848538d,eth,bored token,2,0,0
0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6,bsc,Chess,4,0,0
0x2167afa1c658dc5c4ec975f4af608ff075a8b8ae,bsc,EVAI,7,0,0
0x217ddead61a42369a266f1fb754eb5d3ebadc88a,eth,Donkey,3,0,0
0x21cd589a989615a9e901328d3c089bbca16d00b2,eth,X Money,3,0,0
0x22514ffb0d7232a56f0c24090e7b68f179faa940,bsc,QORPO Token,10,0,0
0x22830be0954ff3bf7929405c488b1bba54a7e0d3,bsc,BRCStarter,3,0,0
0x22b4fa9a13a0d303ad258ee6d62a6ac60364b0c9,bsc,Big Pump,2,0,0
0x22b6c31c2beb8f2d0d5373146eed41ab9ede3caf,eth,CocktailBar,2,0,0
0x22fffab2e52c4a1dff83b7db7ef319698d48667f,bsc,Bull,2,0,0
0x232fb065d9d24c34708eedbf03724f2e95abe768,bsc,Sheesha Finance,8,0,0
0x23396cf899ca06c4472205fc903bdb4de249d6fc,bsc,Wrapped UST Token,8,0,0
0x238950013fa29a3575eb7a3d99c00304047a77b5,bsc,Beeper Coin,24,0,0
0x23b8683ff98f9e4781552dfe6f12aa32814924e8,bsc,Jarvis Synthetic Euro,30,0,0
0x23ce9e926048273ef83be0a3a8ba9cb6d45cd978,bsc,Dalarnia,3,0,0
0x23e8a70534308a4aaf76fb8c32ec13d17a3bd89e,bsc,lUSD,6,0,0
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,eth,Shina Inu,5,0,0
0x2442421fe1acc8a732251fc372892b5ff1fdd938,bsc,Deer Token,2,0,0
0x249ca82617ec3dfb2589c4c17ab7ec9765350a18,eth,Verse,0,0,0
0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,eth,THE TRUTH,3,0,0
0x24c19f7101c1731b85f1127eaa0407732e36ecdd,eth,Sharedstake.finance,16,0,0
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,eth,SHIKOKU INU,5,0,0
0x250632378e573c6be1ac2f97fcdf00515d0aa91b,bsc,Binance Beacon ETH,8,0,0
0x25382fb31e4b22e0ea09cb0761863df5ad97ed72,bsc,Paragen,3,0,0
0x255494b830bd4fe7220b3ec4842cba75600b6c80,eth,Beast Seller,4,0,0
0x2559813bbb508c4c79e9ccce4703bcb1f149edd7,eth,HOURGLASS,1,0,0
0x256d1fce1b1221e8398f65f9b36033ce50b2d497,eth,Alvey Chain,1,0,0
0x25931894a86d47441213199621f1f2994e1c39aa,eth,ChainGPT,8,0,0
0x2596825a84888e8f24b747df29e11b5dd03c81d7,eth,Faith Tribe,7,0,0
0x2598c30330d5771ae9f983979209486ae26de875,bsc,Any Inu,2,0,0
0x25a528af62e56512a19ce8c3cab427807c28cc19,bsc,Formation Finance,4,0,0
0x261510dd6257494eea1dda7618dbe8a7b87870dd,bsc,Dehero Community Token,0,0,0
0x2620638eda99f9e7e902ea24a285456ee9438861,eth,Crust Storage Market,4,0,0
0x26a604dffe3ddab3bee816097f81d3c4a2a4cf97,eth,CorionX utility token,5,0,0
0x26d3163b165be95137cee97241e716b2791a7572,bsc,DSHARE,5,0,0
0x270b7748cdf8243bfe68face7230ef0fce695389,eth,Hinkal ETH,18,0,0
0x270ca21eb1a37cfe0e9a0e7582d8f897e013cdff,eth,Dogius Maximus,2,0,0
0x27ae27110350b98d564b9a3eed31baebc82d878d,bsc,CumRocket,10,0,0
0x27c78a7c10a0673c3509ccf63044aab92e09edac,eth,Butterfly Ai,6,0,0
0x27f103f86070cc639fef262787a16887d22d8415,eth,FOFO Token,5,0,0
0x283d480dfd6921055e9c335fc177bf8cb9c94184,eth,VIX777,3,0,0
0x2859e4544c4bb03966803b044a93563bd2d0dd4d,bsc,SHIBA INU,8,0,0
0x285db79fa7e0e89e822786f48a7c98c6c1dc1c7d,eth,Magic Internet Cash,5,0,0
0x28ce223853d123b52c74439b10b43366d73fd3b5,bsc,FAME MMA,2,0,0
0x28e58ee9932697f610de907a279684d30c407ba9,eth,Depinet,5,0,0
0x28e67eb7aaa8f5dd9cb7be2b2e3dad6b25edb1ab,eth,Freaky KEKE,31,0,0
0x29132062319aa375e764ef8ef756f2b28c77a9c9,bsc,BPAD,2,0,0
0x295b42684f90c77da7ea46336001010f2791ec8c,eth,Xi Token,9,0,0
0x29a63f4b209c29b4dc47f06ffa896f32667dad2c,bsc,PURSE TOKEN,5,0,0
0x2a17dc11a1828725cdb318e0036acf12727d27a2,bsc,Arena Token,7,0,0
0x2a414884a549ef5716bc1a4e648d3dc03f08b2cf,eth,PERQ,9,0,0
0x2a48ece377b87ce941406657b9278b4459595e06,bsc,Lunatics,3,0,0
0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,bsc,XEN Crypto,4,0,0
0x2b37127988e4e5e9576b7a533d873c23cfbdb1e9,eth,ZENTIUM,6,0,0
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,eth,HEX,6,0,0
0x2c0687215aca7f5e2792d956e170325e92a02aca,eth,Earth 2 Essence,3,0,0
0x2c717059b366714d267039af8f59125cadce6d8c,bsc,MetaShooter,7,0,0
0x2c7f442aab99d5e18cfae2291c507c0b5f3c1eb5,eth,KEKO,6,0,0
0x2d060ef4d6bf7f9e5edde373ab735513c0e4f944,bsc,AITECH,2,0,0
0x2d5d69da90b4c02b95c802344b48e3e57ce220d7,eth,Beware of Geeks Bearing Grifts,1,0,0
0x2da719db753dfa10a62e140f436e1d67f2ddb0d6,eth,CERE Network,3,0,0
0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3,bsc,Mask Network,8,0,0
0x2ef52ed7de8c5ce03a4ef0efbe9b7450f2d7edc9,eth,Revain,10,0,0
0x2efa572467c50c04a6eed6742196c0d0d287c1bb,eth,Based Chad,5,0,0
0x2f573070e6090b3264fe707e2c9f201716f123c7,eth,Mumu,4,0,0
0x2f5fa8adf5f09a5f9de05b65fe82a404913f02c4,eth,TROLL 2.0,2,0,0
0x2fa5daf6fe0708fbd63b1a7d1592577284f52256,bsc,UnmarshalToken,4,0,0
0x2fb652314c3d850e9049057bbe9813f1eee882d3,eth,RocketX Exchange V2,6,0,0
0x2ff0b946a6782190c4fe5d4971cfe79f0b6e4df2,bsc,Mysterium,4,0,0
0x2ff3d0f6990a40261c66e1ff2017acbc282eb6d0,bsc,Venus SXP,1,0,0
0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,bsc,Green Metaverse Token,8,0,0
0x3073f7aaa4db83f95e9fff17424f71d4751a3073,eth,Movement,9,0,0
0x30807d3b851a31d62415b8bb7af7dca59390434a,bsc,RadioShack Token,4,0,0
0x30ae41d5f9988d359c733232c6c693c0e645c77e,eth,Wrapped AyeAyeCoin,3,0,0
0x31471e0791fcdbe82fbf4c44943255e923f1b794,bsc,Plant vs Undead Token,0,0,0
0x3192ccddf1cdce4ff055ebc80f3f0231b86a7e30,bsc,Bsc-Peg INSUR Token,9,0,0
0x31d0a7ada4d4c131eb612db48861211f63e57610,bsc,BSCstarter,8,0,0
0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,bsc,Mobox,7,0,0
0x320ed4c7243e35a00f9ca30a1ae60929d15eae37,eth,The Blox Project,3,0,0
0x3256cade5f8cb1256ac2bd1e2d854dec6d667bdf,eth,Mogutou,5,0,0
0x32b86b99441480a7e5bd3a26c124ec2373e3f015,eth,BAD IDEA AI,2,0,0
0x32d7da6a7cf25ed1b86e1b0ee9a62b0252d46b16,bsc,Ginza,9,0,0
0x32f1518baace69e85b9e5ff844ebd617c52573ac,bsc,Dexsport Protocol Native Token,2,0,0
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,eth,Akita Inu,4,0,0
0x330f4fe5ef44b4d0742fe8bed8ca5e29359870df,bsc,Jade Currency,0,0,0
0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,bsc,Venus DAI,1,0,0
0x339c72829ab7dd45c3c52f965e7abe358dd8761e,bsc,Wanaka Farm,3,0,0
0x33e07f5055173cf8febede8b21b12d1e2b523205,eth,Etherland,1,0,0
0x33f391f4c4fe802b70b77ae37670037a92114a7c,eth,Burp,4,0,0
0x347862372f7c8f83d69025234367ac11c5241db3,bsc,Kiirocoin,4,0,0
0x347e430b7cd1235e216be58ffa13394e5009e6e2,bsc,GAIA Everworld,4,0,0
0x34ba3af693d6c776d73c7fa67e2b2e79be8ef4ed,bsc,SHAMBALA,7,0,0
0x34df29dd880e9fe2cec0f85f7658b75606fb2870,eth,"What the fuck did you just fucking say about me, you little bitch? I'll have you know I graduated top of my class in the Navy Seals, and I've been involved in numerous secret raids on Al-Quaeda, and I have over 300 confirmed kills. I am trained in gorilla warfare and I'm the top sniper in the entire US armed forces. You are nothing to me but just another target. I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words. You think you can get away with saying that shit to me over the Internet? Think again, fucker. As we speak I am contacting my secret network of spies across the USA and your IP is being traced right now so you better prepare for the storm, maggot. The storm that wipes out the pathetic little thing you call your life. You're fucking dead, kid. I can be anywhere, anytime, and I can kill you in over seven hundred ways, and that's just with my bare hands. Not only am I extensively trained in unarmed combat, but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent, you little shit. If only you could have known what unholy retribution your little clever comment was about to bring down upon you, maybe you would have held your fucking tongue. But you couldn't, you didn't, and now you're paying the price, you goddamn idiot. I will shit fury all over you and you will drown in it. You're fucking dead, kiddo.",3,0,0
0x352cb5e19b12fc216548a2677bd0fce83bae434b,bsc,BitTorrent,11,0,0
0x3541a5c1b04adaba0b83f161747815cd7b1516bc,eth,CitaDAO,2,0,0
0x3595e426a7808e2482667ee4e453ef280fbb9cf4,eth,Nose Candy,11,0,0
0x35bd01fc9d6d5d81ca9e055db88dc49aa2c699a8,eth,Friends With Benefits Pro,7,0,0
0x35de111558f691f77f791fb0c08b2d6b931a9d47,bsc,Chain Games,1,0,0
0x362033a25b37603d4c99442501fa7b2852ddb435,eth,MATRI𝕏,3,0,0
0x368ce786ea190f32439074e8d22e12ecb718b44c,bsc,Epik Prime [via ChainPort.io],5,0,0
0x36f1f32c728c3f330409ec1f0928fa3ab3c8a76f,bsc,Adroverse Token,2,0,0
